Longitude,Latitude
nan,nan
nan,nan
159.725,305.788
161.345,307.689
163.073,309.674
164.719,311.546
166.366,313.394
168.121,315.343
169.813,317.194
171.486,319.021
173.196,320.848
174.906,322.67
176.635,324.49
178.354,326.301
180.181,328.229
181.927,330.057
183.683,331.887
185.347,333.613
187.103,335.42
188.876,337.25
190.658,339.097
192.359,340.839
194.169,342.682
195.915,344.421
197.662,346.16
199.408,347.899
201.154,349.639
139.509,273.636
141.11,275.626
142.63,277.496
144.249,279.477
145.878,281.455
147.416,283.323
149.053,285.285
150.6,287.142
152.274,289.085
153.948,291.027
155.54,292.859
157.232,294.795
158.851,296.627
160.48,298.465
162.208,300.393
163.845,302.217
165.492,304.036
167.247,305.961
168.912,307.778
170.576,309.588
172.332,311.519
174.015,313.338
175.688,315.136
177.371,316.952
179.072,318.764
180.782,320.575
182.492,322.384
182.637,322.538
182.637,322.538
184.32,324.301
186.057,326.106
187.803,327.914
189.459,329.616
191.223,331.406
193.006,333.208
194.807,335.013
196.517,336.712
198.353,338.519
200.1,340.277
201.846,342.036
203.592,343.795
205.339,345.554
141.131,268.945
142.633,270.99
144.152,273.034
145.582,274.953
147.11,276.986
148.648,279.02
150.114,280.94
151.661,282.96
153.135,284.871
154.692,286.891
156.266,288.9
157.758,290.794
159.36,292.8
160.889,294.696
162.427,296.601
164.055,298.598
165.602,300.489
167.158,302.377
168.823,304.378
170.397,306.266
171.971,308.148
173.654,310.137
175.255,312.015
176.857,313.874
178.476,315.745
180.105,317.617
181.733,319.479
183.362,321.347
183.642,321.666
183.642,321.666
185.099,323.335
186.764,325.21
188.428,327.09
190.012,328.859
191.695,330.721
193.405,332.597
195.115,334.466
196.743,336.215
198.462,338.12
143.938,266.877
145.448,268.912
146.959,270.942
148.398,272.842
149.927,274.861
151.464,276.88
152.93,278.785
154.486,280.793
155.952,282.692
157.517,284.697
159.082,286.696
160.565,288.579
162.149,290.575
163.669,292.463
165.198,294.361
166.817,296.35
168.355,298.236
169.911,300.117
171.558,302.108
173.123,303.987
174.697,305.859
176.371,307.837
177.963,309.702
179.555,311.55
181.175,313.415
182.794,315.28
184.423,317.141
186.052,319.011
187.78,320.985
189.435,322.847
191.1,324.715
192.674,326.471
194.348,328.32
196.049,330.183
197.768,332.048
199.37,333.833
201.098,335.728
143.938,266.877
145.448,268.912
146.959,270.942
148.398,272.842
149.927,274.861
151.464,276.88
152.93,278.785
154.486,280.793
155.952,282.692
157.517,284.697
159.082,286.696
160.565,288.579
162.149,290.575
163.669,292.463
165.198,294.361
166.817,296.35
168.355,298.236
169.911,300.117
171.558,302.108
173.123,303.987
174.697,305.859
176.371,307.837
177.963,309.702
179.555,311.55
181.175,313.415
182.794,315.28
184.423,317.141
186.052,319.011
187.78,320.985
189.435,322.847
191.1,324.715
192.674,326.471
194.348,328.32
196.049,330.183
197.768,332.048
199.37,333.833
201.098,335.728
146.591,264.912
148.102,266.945
149.612,268.964
151.033,270.853
